date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:38	1160/1160	---M-Z	200	added ('OK')	text/html	etag:%22488-5f2a4340-ed0ef2b84579bf3b;gz%22	https://rtoodisha.co.in/	C:/Users/RAM/Downloads/rto/rto/rtoodisha.co.in/index.html	(from )
15:31:51	1285/1285	---M-Z	200	added ('OK')	text/css	etag:%22505-5f2a4341-7e8f1c17eee57d6c;gz%22	https://rtoodisha.co.in/Image/style.css	C:/Users/RAM/Downloads/rto/rto/rtoodisha.co.in/Image/style.css	(from https://rtoodisha.co.in/)
15:31:52	1240/1240	---M-Z	200	added ('OK')	text/html	etag:%224d8-5f2a4341-c9d2c77c0357a403;gz%22	https://rtoodisha.co.in/odia.html	C:/Users/RAM/Downloads/rto/rto/rtoodisha.co.in/odia.html	(from https://rtoodisha.co.in/)
15:31:52	96171/96171	---M--	200	added ('OK')	image/png	etag:%22177ab-5f2a4340-ce2e55e2854b1546;;;%22	https://rtoodisha.co.in/Image/f3.png	C:/Users/RAM/Downloads/rto/rto/rtoodisha.co.in/Image/f3.png	(from https://rtoodisha.co.in/)
15:31:52	1436/1436	---M-Z	200	added ('OK')	text/html	etag:%2259c-5fa56707-5c0bf85fcd1cf72c;gz%22	https://rtoodisha.co.in/english.html	C:/Users/RAM/Downloads/rto/rto/rtoodisha.co.in/english.html	(from https://rtoodisha.co.in/)
15:31:53	91289/91289	---M--	200	added ('OK')	image/png	etag:%2216499-5f2a4341-33131731a8444872;;;%22	https://rtoodisha.co.in/Image/l2.png	C:/Users/RAM/Downloads/rto/rto/rtoodisha.co.in/Image/l2.png	(from https://rtoodisha.co.in/)
15:31:53	9392/9392	---M--	200	added ('OK')	image/png	etag:%2224b0-5f2a4341-3734164b66336d39;;;%22	https://rtoodisha.co.in/Image/toll.png	C:/Users/RAM/Downloads/rto/rto/rtoodisha.co.in/Image/toll.png	(from https://rtoodisha.co.in/)
15:31:53	4437/4437	---M--	200	added ('OK')	image/png	etag:%221155-5f2a4341-b6586058e22f6de9;;;%22	https://rtoodisha.co.in/Image/news/E1.png	C:/Users/RAM/Downloads/rto/rto/rtoodisha.co.in/Image/news/E1.png	(from https://rtoodisha.co.in/)
15:31:53	4118/4118	---M--	200	added ('OK')	image/png	etag:%221016-5f2a4341-de1b96111d5fb6b5;;;%22	https://rtoodisha.co.in/Image/news/E2.png	C:/Users/RAM/Downloads/rto/rto/rtoodisha.co.in/Image/news/E2.png	(from https://rtoodisha.co.in/)
15:31:53	4120/4120	---M--	200	added ('OK')	image/png	etag:%221018-5f2a4341-97ac0ce7964ef56d;;;%22	https://rtoodisha.co.in/Image/news/E3.png	C:/Users/RAM/Downloads/rto/rto/rtoodisha.co.in/Image/news/E3.png	(from https://rtoodisha.co.in/)
